transaction_id,date,product,category,quantity,unit_price,total,customer_id,region,payment_method
TXN100000,2025-05-21,Tablet,Mobile,1,2738.46,2738.46,CUST1125,Mombasa,Mobile Money
TXN100001,2025-10-07,Tablet,Mobile,1,61064.6,61064.6,CUST1044,Eldoret,Bank Transfer
TXN100002,2025-04-30,Laptop,Computers,1,8885.72,8885.72,CUST1258,Eldoret,Card
TXN100003,2025-12-26,Keyboard,Accessories,2,64583.76,129167.52,CUST1279,Nakuru,Mobile Money
TXN100004,2025-01-04,Monitor,Computers,5,25398.07,126990.35,CUST1388,Mombasa,Bank Transfer
TXN100005,2025-06-22,Headphones,Accessories,3,14415.42,43246.26,CUST1052,Nairobi,Bank Transfer
TXN100006,2025-11-06,Laptop,Computers,3,76350.75,229052.25,CUST1135,Nairobi,Bank Transfer
TXN100007,2025-07-13,Keyboard,Accessories,1,87593.86,87593.86,CUST1040,Eldoret,Cash
TXN100008,2025-07-05,Tablet,Mobile,5,79747.93,398739.65,CUST1295,Mombasa,Card
TXN100009,2025-02-10,Laptop,Computers,2,69689.62,139379.24,CUST1119,Nairobi,Bank Transfer
TXN100010,2025-07-06,Headphones,Accessories,4,57393.76,229575.04,CUST1083,Kisumu,Cash
TXN100011,2025-12-16,Phone,Mobile,3,63312.92,189938.76,CUST1331,Nairobi,Mobile Money
TXN100012,2025-07-14,Keyboard,Accessories,2,15124.52,30249.04,CUST1138,Eldoret,Mobile Money
TXN100013,2025-01-29,Tablet,Mobile,3,75935.25,227805.75,CUST1117,Nairobi,Cash
TXN100014,2025-10-18,Monitor,Computers,3,6423.88,19271.64,CUST1367,Kisumu,Mobile Money
TXN100015,2025-11-26,Tablet,Mobile,4,35909.06,143636.24,CUST1234,Mombasa,Cash
TXN100016,2025-10-03,Phone,Mobile,2,67176.51,134353.02,CUST1134,Eldoret,Bank Transfer
TXN100017,2025-03-12,Keyboard,Accessories,4,32898.68,131594.72,CUST1260,Nakuru,Card
TXN100018,2025-03-23,Laptop,Computers,1,14179.3,14179.3,CUST1348,Nakuru,Card
TXN100019,2025-08-28,Monitor,Computers,4,53832.01,215328.04,CUST1270,Kisumu,Card
TXN100020,2025-10-02,Tablet,Mobile,1,61513.08,61513.08,CUST1384,Kisumu,Cash
TXN100021,2025-08-21,Laptop,Computers,3,39411.49,118234.47,CUST1001,Kisumu,Mobile Money
TXN100022,2025-06-02,Keyboard,Accessories,1,78411.41,78411.41,CUST1327,Eldoret,Mobile Money
TXN100023,2025-10-04,Phone,Mobile,3,68744.72,206234.16,CUST1398,Eldoret,Card
TXN100024,2025-02-27,Keyboard,Accessories,3,44230.21,132690.63,CUST1185,Kisumu,Mobile Money
TXN100025,2025-02-10,Laptop,Computers,2,79081.86,158163.72,CUST1043,Nakuru,Card
TXN100026,2025-09-01,Keyboard,Accessories,2,11991.04,23982.08,CUST1281,Mombasa,Cash
TXN100027,2025-04-19,Keyboard,Accessories,5,38370.85,191854.25,CUST1276,Mombasa,Cash
TXN100028,2025-09-22,Monitor,Computers,3,39709.96,119129.88,CUST1231,Nairobi,Mobile Money
TXN100029,2025-10-29,Phone,Mobile,1,30758.66,30758.66,CUST1283,Mombasa,Mobile Money
TXN100030,2025-01-31,Laptop,Computers,1,63851.76,63851.76,CUST1117,Nairobi,Card
TXN100031,2025-05-23,Headphones,Accessories,1,46516.97,46516.97,CUST1342,Nakuru,Mobile Money
TXN100032,2025-10-20,Keyboard,Accessories,2,65240.05,130480.1,CUST1295,Nakuru,Mobile Money
TXN100033,2025-02-19,Monitor,Computers,4,17541.69,70166.76,CUST1337,Nakuru,Cash
TXN100034,2025-01-28,Monitor,Computers,4,42298.71,169194.84,CUST1344,Nairobi,Card
TXN100035,2025-02-25,Monitor,Computers,3,72153.03,216459.09,CUST1127,Mombasa,Mobile Money
TXN100036,2025-04-04,Keyboard,Accessories,4,13046.32,52185.28,CUST1142,Nakuru,Mobile Money
TXN100037,2025-10-09,Laptop,Computers,4,72817.99,291271.96,CUST1050,Nairobi,Card
TXN100038,2025-09-06,Laptop,Computers,2,15384.84,30769.68,CUST1246,Mombasa,Bank Transfer
TXN100039,2025-07-19,Laptop,Computers,2,34418.09,68836.18,CUST1135,Nakuru,Cash
TXN100040,2025-09-07,Monitor,Computers,5,59737.48,298687.4,CUST1079,Mombasa,Cash
TXN100041,2025-10-05,Phone,Mobile,1,52336.64,52336.64,CUST1031,Kisumu,Card
TXN100042,2025-09-29,Laptop,Computers,5,43172.57,215862.85,CUST1080,Nairobi,Card
TXN100043,2025-12-12,Phone,Mobile,1,53755.64,53755.64,CUST1120,Nakuru,Card
TXN100044,2025-01-21,Keyboard,Accessories,2,52313.26,104626.52,CUST1317,Nairobi,Bank Transfer
TXN100045,2025-06-11,Tablet,Mobile,5,51087.81,255439.05,CUST1133,Mombasa,Cash
TXN100046,2025-12-10,Phone,Mobile,3,35922.83,107768.49,CUST1330,Kisumu,Bank Transfer
TXN100047,2025-11-15,Headphones,Accessories,1,1333.73,1333.73,CUST1288,Nairobi,Card
TXN100048,2025-03-09,Keyboard,Accessories,2,45776.68,91553.36,CUST1178,Nairobi,Mobile Money
TXN100049,2025-10-06,Headphones,Accessories,3,14618.34,43855.02,CUST1360,Kisumu,Card
TXN100050,2025-12-06,Tablet,Mobile,5,27294.4,136472.0,CUST1053,Mombasa,Cash
TXN100051,2025-03-21,Laptop,Computers,1,66946.29,66946.29,CUST1139,Kisumu,Mobile Money
TXN100052,2025-11-21,Tablet,Mobile,3,18721.96,56165.88,CUST1135,Eldoret,Bank Transfer
TXN100053,2025-08-05,Headphones,Accessories,1,8760.71,8760.71,CUST1141,Nairobi,Card
TXN100054,2025-05-15,Headphones,Accessories,2,57521.65,115043.3,CUST1082,Nakuru,Bank Transfer
TXN100055,2025-12-20,Keyboard,Accessories,1,10512.71,10512.71,CUST1076,Eldoret,Card
TXN100056,2025-08-09,Headphones,Accessories,5,49951.0,249755.0,CUST1065,Nairobi,Cash
TXN100057,2025-04-18,Headphones,Accessories,1,80953.75,80953.75,CUST1349,Mombasa,Card
TXN100058,2025-07-28,Headphones,Accessories,5,79630.06,398150.3,CUST1317,Mombasa,Mobile Money
TXN100059,2025-01-13,Phone,Mobile,2,79386.75,158773.5,CUST1091,Kisumu,Bank Transfer
TXN100060,2025-12-26,Tablet,Mobile,2,24379.11,48758.22,CUST1055,Nakuru,Card
TXN100061,2025-08-24,Monitor,Computers,2,18361.77,36723.54,CUST1179,Kisumu,Mobile Money
TXN100062,2025-07-24,Phone,Mobile,1,59572.97,59572.97,CUST1168,Kisumu,Card
TXN100063,2025-07-24,Headphones,Accessories,3,57912.62,173737.86,CUST1347,Eldoret,Cash
TXN100064,2025-05-14,Laptop,Computers,1,78994.94,78994.94,CUST1091,Eldoret,Cash
TXN100065,2025-06-26,Laptop,Computers,1,53893.13,53893.13,CUST1373,Kisumu,Bank Transfer
TXN100066,2025-10-23,Keyboard,Accessories,5,10850.3,54251.5,CUST1097,Kisumu,Card
TXN100067,2025-10-03,Tablet,Mobile,4,651.37,2605.48,CUST1351,Mombasa,Cash
TXN100068,2025-06-19,Monitor,Computers,1,85424.27,85424.27,CUST1319,Kisumu,Card
TXN100069,2025-12-08,Tablet,Mobile,3,45887.46,137662.38,CUST1209,Kisumu,Bank Transfer
TXN100070,2025-04-09,Tablet,Mobile,3,50119.92,150359.76,CUST1215,Nakuru,Mobile Money
TXN100071,2025-10-08,Keyboard,Accessories,5,27435.01,137175.05,CUST1000,Kisumu,Cash
TXN100072,2025-11-07,Phone,Mobile,4,70825.42,283301.68,CUST1335,Kisumu,Bank Transfer
TXN100073,2025-09-19,Monitor,Computers,4,60968.64,243874.56,CUST1242,Mombasa,Card
TXN100074,2025-11-14,Headphones,Accessories,5,59914.92,299574.6,CUST1171,Nairobi,Mobile Money
TXN100075,2025-04-12,Tablet,Mobile,3,20605.34,61816.02,CUST1075,Nairobi,Card
TXN100076,2025-02-07,Phone,Mobile,4,55209.02,220836.08,CUST1233,Nakuru,Mobile Money
TXN100077,2025-05-05,Tablet,Mobile,4,44746.76,178987.04,CUST1075,Nairobi,Card
TXN100078,2025-12-23,Monitor,Computers,2,16241.86,32483.72,CUST1265,Nakuru,Card
TXN100079,2025-03-04,Keyboard,Accessories,2,82613.57,165227.14,CUST1233,Mombasa,Bank Transfer
TXN100080,2025-11-01,Tablet,Mobile,5,88916.37,444581.85,CUST1162,Nakuru,Bank Transfer
TXN100081,2025-09-01,Keyboard,Accessories,4,80800.13,323200.52,CUST1230,Kisumu,Mobile Money
TXN100082,2025-09-24,Tablet,Mobile,3,69040.32,207120.96,CUST1248,Mombasa,Cash
TXN100083,2025-05-01,Monitor,Computers,1,64362.27,64362.27,CUST1139,Kisumu,Cash
TXN100084,2025-04-29,Keyboard,Accessories,1,12884.48,12884.48,CUST1196,Mombasa,Mobile Money
TXN100085,2025-10-05,Laptop,Computers,4,36980.14,147920.56,CUST1238,Nakuru,Card
TXN100086,2025-10-27,Phone,Mobile,4,35358.17,141432.68,CUST1356,Nairobi,Bank Transfer
TXN100087,2025-06-02,Monitor,Computers,1,84875.38,84875.38,CUST1385,Nakuru,Bank Transfer
TXN100088,2025-04-23,Keyboard,Accessories,5,72088.2,360441.0,CUST1249,Mombasa,Cash
TXN100089,2025-06-22,Monitor,Computers,4,3097.72,12390.88,CUST1342,Nakuru,Mobile Money
TXN100090,2025-10-01,Monitor,Computers,2,88274.62,176549.24,CUST1013,Nakuru,Card
TXN100091,2025-08-25,Laptop,Computers,4,12645.1,50580.4,CUST1093,Nairobi,Cash
TXN100092,2025-06-17,Monitor,Computers,3,19443.6,58330.8,CUST1172,Nakuru,Cash
TXN100093,2025-08-29,Monitor,Computers,3,75224.53,225673.59,CUST1009,Eldoret,Card
TXN100094,2025-11-30,Headphones,Accessories,2,58687.9,117375.8,CUST1020,Nairobi,Mobile Money
TXN100095,2025-05-03,Phone,Mobile,1,56109.54,56109.54,CUST1064,Nakuru,Card
TXN100096,2025-05-12,Keyboard,Accessories,2,42120.54,84241.08,CUST1392,Kisumu,Mobile Money
TXN100097,2025-02-28,Keyboard,Accessories,5,86754.26,433771.3,CUST1398,Mombasa,Cash
TXN100098,2025-06-09,Laptop,Computers,5,2798.22,13991.1,CUST1294,Nakuru,Bank Transfer
TXN100099,2025-12-20,Tablet,Mobile,2,7301.68,14603.36,CUST1321,Mombasa,Card
TXN100100,2025-11-04,Tablet,Mobile,3,76601.24,229803.72,CUST1061,Eldoret,Card
TXN100101,2025-07-09,Headphones,Accessories,5,38839.83,194199.15,CUST1035,Eldoret,Cash
TXN100102,2025-02-24,Laptop,Computers,4,74098.62,296394.48,CUST1221,Kisumu,Bank Transfer
TXN100103,2025-09-25,Tablet,Mobile,2,39476.1,78952.2,CUST1333,Kisumu,Bank Transfer
TXN100104,2025-10-31,Monitor,Computers,4,74403.25,297613.0,CUST1137,Kisumu,Mobile Money
TXN100105,2025-05-05,Laptop,Computers,3,79405.99,238217.97,CUST1384,Nakuru,Bank Transfer
TXN100106,2025-06-16,Headphones,Accessories,1,44740.43,44740.43,CUST1093,Nakuru,Mobile Money
TXN100107,2025-11-02,Headphones,Accessories,3,30960.33,92880.99,CUST1359,Kisumu,Card
TXN100108,2025-07-28,Keyboard,Accessories,2,8162.36,16324.72,CUST1250,Eldoret,Mobile Money
