transaction_id,date,product,category,quantity,unit_price,total,customer_id,region,payment_method
TXN102575,2025-04-11,Laptop,Computers,4,42730.98,170923.92,CUST1125,Kisumu,Card
TXN102990,2025-09-16,Monitor,Computers,1,29046.96,29046.96,CUST1064,Nairobi,Mobile Money
TXN102592,11/07/2025,Monitor,Computers,4,1182.24,4728.96,CUST1017,Eldoret,Mobile Money
TXN101801,2025-06-28,Tablet,Mobile,3,,9905.7,CUST1013,Eldoret,Cash
TXN100945,2025-09-27,Tablet,Mobile,1,13216.83,13216.83,CUST1384,Kisumu,Bank Transfer
TXN101081,2025-12-04,Phone,Mobile,1,3434.95,3434.95,CUST1262,Eldoret,Card
TXN102848,2025-12-10,Keyboard,Accessories,1,30371.76,30371.76,CUST1397,Mombasa,Bank Transfer
TXN102522,07/04/2025,Laptop,Computers,3,16287.67,48863.01,CUST1279,Kisumu,Card
TXN100079,2025-03-04,Keyboard,Accessories,622,82613.57,165227.14,CUST1233,,Bank Transfer
TXN100889,16/11/2025,Headphones,Accessories,5,51975.27,259876.35,CUST1181,,Bank Transfer
TXN100592,01/10/2025,Monitor,Computers,4,917.89,3671.56,CUST1102,Kisumu,Card
TXN102030,08/11/2025,Phone,Mobile,2,13932.92,27865.84,CUST1398,Nairobi,Mobile Money
TXN100121,2025-04-26,Keyboard,Accessories,5,71271.3,356356.5,CUST1397,Eldoret,Bank Transfer
TXN101442,2025-05-04,  Laptop ,Computers,4,,239225.88,CUST1124,Mombasa,Mobile Money
TXN102326,2025-12-12,Keyboard,Accessories,3,75047.21,225141.63,CUST1109,Eldoret,Cash
TXN101844,2025-11-12,Monitor,Computers,5,25403.93,127019.65,CUST1160,Nairobi,Cash
TXN100095,03/05/2025,  Phone ,Mobile,1,56109.54,56109.54,CUST1064,Nakuru,Card
TXN101251,29/10/2025,Laptop,Computers,2,13221.51,26443.02,CUST1215,Nairobi,Cash
TXN101464,2025-03-18,Keyboard,Accessories,3,53608.62,160825.86,CUST1321,Nakuru,Mobile Money
TXN100305,19/02/2025,Keyboard,Accessories,5,11133.59,55667.95,CUST1201,Kisumu,CASH
TXN101936,2025-04-13,Phone,Mobile,2,24915.55,49831.1,CUST1090,Kisumu,Cash
TXN102675,25/04/2025,Phone,Mobile,1,17053.44,17053.44,CUST1150,Mombasa,Bank Transfer
TXN102370,09/09/2025,Keyboard,Accessories,1,62990.38,62990.38,CUST1089,Nakuru,Cash
TXN102977,05/12/2025,Monitor,Computers,5,89553.08,447765.4,CUST1328,Nakuru,Card
TXN100423,2025-05-05,Tablet,Mobile,2,83728.06,167456.12,CUST1264,Mombasa,Mobile Money
TXN102547,2025-03-06,Monitor,Computers,2,65723.0,131446.0,CUST1086,Eldoret,Mobile Money
TXN102934,2025-12-01,  Laptop ,Computers,4,,93098.36,CUST1188,Kisumu,Bank Transfer
TXN101807,2025-12-01,Headphones,Accessories,3,59501.08,178503.24,CUST1395,Eldoret,CARD
TXN102101,2025-11-11,Tablet,Mobile,5,33219.65,166098.25,CUST1342,Nairobi,Bank Transfer
TXN102057,2025-06-16,Headphones,Accessories,4,71287.34,285149.36,CUST1285,Eldoret,Mobile Money
TXN102352,2025-06-16,  Tablet ,Mobile,3,44281.61,132844.83,CUST1374,Kisumu,Bank Transfer
TXN101312,2025-03-17,Keyboard,Accessories,5,69906.86,349534.3,CUST1240,Kisumu,CASH
TXN100720,16/03/2025,Monitor,Computers,1,72491.06,72491.06,CUST1241,Eldoret,BANK TRANSFER
TXN100259,2025-06-23,Phone,Mobile,1,32030.76,32030.76,CUST1329,Mombasa,Bank Transfer
TXN100842,2025-12-04,Monitor,Computers,3,,179510.58,CUST1184,Nairobi,Card
TXN100034,2025-01-28,  Monitor ,Computers,4,42298.71,169194.84,CUST1344,Nairobi,Card
TXN101163,2025-05-01,  Keyboard ,Accessories,1,5164.08,5164.08,CUST1241,Kisumu,CARD
TXN100838,2025-10-03,Laptop,Computers,3,19206.35,57619.05,CUST1108,Mombasa,Cash
TXN101538,14/04/2025,Headphones,Accessories,4,89073.19,356292.76,CUST1273,Mombasa,CARD
TXN100296,2025-05-17,Headphones,Accessories,2,,84498.58,CUST1230,,Mobile Money
TXN101634,2025-06-30,  Tablet ,Mobile,4,37557.81,150231.24,CUST1180,Eldoret,Bank Transfer
TXN101851,12/03/2025,Monitor,Computers,4,24043.56,96174.24,CUST1142,Nairobi,Cash
TXN101234,2025-07-19,Laptop,Computers,1,48600.3,48600.3,CUST1371,Mombasa,Cash
TXN101238,2025-01-25,  Headphones ,Accessories,5,32225.36,161126.8,CUST1387,Nairobi,Bank Transfer
TXN102241,17/08/2025,  Keyboard ,Accessories,3,52718.64,158155.92,CUST1243,Kisumu,Mobile Money
TXN102947,2025-09-01,  Keyboard ,Accessories,3,62114.85,186344.55,CUST1308,Eldoret,Mobile Money
TXN101568,25/04/2025,Monitor,Computers,2,89173.74,178347.48,CUST1052,Kisumu,Cash
TXN101418,26/03/2025,Keyboard,Accessories,2,78902.55,157805.1,CUST1218,Kisumu,Cash
TXN101271,2025-10-28,Laptop,Computers,3,50089.74,150269.22,CUST1345,Nairobi,Mobile Money
TXN100742,2025-10-23,Keyboard,Accessories,3,36110.22,108330.66,CUST1065,,Bank Transfer
TXN100361,2025-06-03,Tablet,Mobile,4,37039.2,148156.8,CUST1192,Mombasa,Bank Transfer
TXN102003,02/12/2025,  Keyboard ,Accessories,3,68782.67,206348.01,CUST1088,Nairobi,BANK TRANSFER
TXN100125,2025-11-01,Laptop,Computers,4,40820.08,163280.32,CUST1240,Kisumu,Card
TXN102391,2025-09-18,Tablet,Mobile,2,43403.24,86806.48,CUST1208,Mombasa,Mobile Money
TXN100612,24/07/2025,Headphones,Accessories,2,,21375.92,CUST1233,Kisumu,Bank Transfer
TXN102180,18/10/2025,Headphones,Accessories,4,27910.62,111642.48,CUST1288,Kisumu,Card
